user,text,favorite_count,retweet_count,created_at
elonmusk,Charlie was murdered by the Dark for showing people the Light,728069,95430,2025-09-21 18:15:46+00:00
elonmusk,"Every seat in this giant arena that isn’t roped off for security is packed to the ceiling. Honored to be here.

All for Charlie Kirk. https://t.co/NDK6sDuqLa",1113123,145889,2025-09-21 17:45:48+00:00
elonmusk,Really https://t.co/jPoDSCdPkB,332942,60719,2025-09-21 01:22:43+00:00
elonmusk,… https://t.co/SSt29WDIFW,545716,79888,2025-09-21 01:14:00+00:00
elonmusk,Absolutely https://t.co/8muiQ3EOjB,178613,25057,2025-09-21 01:05:09+00:00
elonmusk,Progress https://t.co/57AiyEO9pT,44598,8055,2025-09-20 22:52:52+00:00
elonmusk,"Unless action is taken, this will happen everywhere https://t.co/2g0FDLOskR",99045,16990,2025-09-20 16:12:30+00:00
elonmusk,It was always a lie used to mutilate children below the age of consent https://t.co/aWOV3DKXhI,149038,26573,2025-09-20 16:09:01+00:00
elonmusk,Yes https://t.co/hgKaRB7SS4,233900,37629,2025-09-20 13:56:08+00:00
elonmusk,Grok can now “read aloud” in a beautiful voice https://t.co/qy5MBYzXrw,39838,7032,2025-09-20 07:33:43+00:00
